Line #,IM GUI Item Attribute Set,IM GUI / Load Sheet (FUSE) Name,IM / Load Sheet (FUSE) XML Name,GDSN XML Name,GDSN BMS ID,DSD Attribute Name,DSD Qualifer Attribute Name,ContentSync Attribute Name,Mandatory/ Optional,Definition,Data Type,# of digits before the decimal (floats),Min Length (Non-floats)/ # of digits after the decimal (floats),Max Length (Non-floats)/ Total digits including decimal (floats),Global/Target Market Specific,Occurrence,Qualifier Type,Qual Valid Value List,"Correctable
 Attribute (Y/N)",Relationship Dependent Data (RDD) (Y/N),Additional Comments,Examples,Notes,# of Values allowed per Qualifier Type (Language/uom/currency),Last Revision Date,Revision
42670,Handling and Storage,Labelled temperature,tradeItemTemperatureInformation/labelledTemperature,tradeItemTemperatureInformationModule/tradeItemTemperatureInformation/labelledTemperature,6288,S3TILT,S3TILTU,labelledTemperature,O,"The temperature(s) that is/are labelled on the trade item to help the consumer understand the temperatures for which the product can be used, e.g. the washing temperature(s) for a detergent.",ufloat,38,15,53,Target Market,0..Many,UOM,TemperatureUOM,N,N,,,,Multiple,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to correct the # of digits before the decimal (floats), Min Length (Non-floats)/ Total digits including decimal (floats), and Max Length (Non-floats)/ # of digits after the decimal (floats) for float attributes
8/26/2020 - Added for IM 8.18"
42690,Handling and Storage,Maximum Environment Atmospheric Pressure,tradeItemTemperatureInformation/maximumEnvironmentAtmosphericPressure,tradeItemTemperatureInformationModule/tradeItemTemperatureInformation/maximumEnvironmentAtmosphericPressure,6139,S3TIMEAP,S3TIMEAPU,maximumEnvironmentAtmosphericPressure,O,The maximum atmospheric pressure in which the item remains usable. This value is the value above which the trade item should not be subjected.,ufloat,38,15,53,Target Market,0..1,UOM,PressureUOM,N,N,,,,,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to correct the # of digits before the decimal (floats), Min Length (Non-floats)/ Total digits including decimal (floats), and Max Length (Non-floats)/ # of digits after the decimal (floats) for float attributes
1/4/2019 - IM 8.8 release: Added new attribute. Data from storageEnvironmentAtmosphericPressureMaximum can be migrated to tradeItemTemperatureInformation/maximumEnvironmentAtmosphericPressure, populate with tradeItemTemperatureInformation/temperatureQualifierCode  = STORAGE_HANDLING
Data from transportationEnvironmentAtmosphericPressureMaximum can be migrated to tradeItemTemperatureInformation/maximumEnvironmentAtmosphericPressure, populate with tradeItemTemperatureInformation/temperatureQualifierCode  = TRANSPORTATION"
42710,Handling and Storage,Maximum Temperature,tradeItemTemperatureInformation/maximumTemperature,tradeItemTemperatureInformationModule/tradeItemTemperatureInformation/maximumTemperature,3820,S3MAXTEMP,S3MXTMPU,maximumTemperature,O,"The maximum temperature that a product can not exceed during an activity as defined by the manufacturer without affecting product safety, quality and/or usage.

Used to communicate to the buyer or consumer the maximum temperature for quality and safety for a specific activity in conjunction with Temperature Activity Code.",sfloat,15,15,30,Target Market,0..1,UOM,TemperatureUOM,N,N,Attributes with a datatype of sfloat (signed float) can support both negative and positive numbers.,"+14.2
-15.55
13.4","Previous IM GUI / Load Sheet (FUSE) Name was Maximum Temperature. 
",,9/1/2022,"9/1/2022- Updated IM GUI / Load Sheet (FUSE) Name and Definition for IM 8.31. Previous IM Attribute GUI Name was Maximum Temperature.
6/25/2021- Updated the value for IM GUI Item Attribute Set "
42730,Handling and Storage,Max Temp Acceptable Time Span,tradeItemTemperatureInformation/maximumTemperatureAcceptableTimeSpan,tradeItemTemperatureInformationModule/tradeItemTemperatureInformation/maximumTemperatureAcceptableTimeSpan,3822,S3MTATS,S3MXTATSU,maximumTemperatureAcceptableTimeSpan,O,The amount of time that a product can safely rise above the maximum temperature threshold during storage as defined by the manufacturer without affecting product safety or quality.,ufloat,38,15,53,Target Market,0..1,UOM,TimeUOM,N,N,Attributes with a datatype of ufloat (unsigned float) can support only  positive numbers.  No +/- should be used with this attribute.,"15.4
13",,,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to correct the # of digits before the decimal (floats), Min Length (Non-floats)/ Total digits including decimal (floats), and Max Length (Non-floats)/ # of digits after the decimal (floats) for float attributes"
42750,Handling and Storage,Max Tolerance Temp,tradeItemTemperatureInformation/maximumToleranceTemperature,tradeItemTemperatureInformationModule/tradeItemTemperatureInformation/maximumToleranceTemperature,3824,S3MXTLTMP,S3MXTLTPU,maximumToleranceTemperature,O,The maximum temperature at which the item is still usable. The tolerated temperature indicates that the temperature of the trade item should never rise above the maximum temperature.,ufloat,38,15,53,Target Market,0..1,UOM,TemperatureUOM,N,N,Attributes with a datatype of ufloat (unsigned float) can support only  positive numbers.  No +/- should be used with this attribute.,"15.4
13",,,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to correct the # of digits before the decimal (floats), Min Length (Non-floats)/ Total digits including decimal (floats), and Max Length (Non-floats)/ # of digits after the decimal (floats) for float attributes"
42770,Handling and Storage,Minimum Environment Atmospheric Pressure,tradeItemTemperatureInformation/minimumEnvironmentAtmosphericPressure,tradeItemTemperatureInformationModule/tradeItemTemperatureInformation/minimumEnvironmentAtmosphericPressure,6141,S3TINEAP,S3TINEAPU,minimumEnvironmentAtmosphericPressure,O,The minimum atmospheric pressure in which the item remains usable. This value is the value below which the trade item should not be subjected.,ufloat,38,15,53,Target Market,0..1,UOM,PressureUOM,N,N,,,,,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to correct the # of digits before the decimal (floats), Min Length (Non-floats)/ Total digits including decimal (floats), and Max Length (Non-floats)/ # of digits after the decimal (floats) for float attributes
1/4/2019 - IM 8.8 release: Added new attribute. Data from storageEnvironmentAtmosphericPressureMinimum can be migrated to tradeItemTemperatureInformation/minimumEnvironmentAtmosphericPressure, populate with tradeItemTemperatureInformation/temperatureQualifierCode  = STORAGE_HANDLING
Data from transportationEnvironmentAtmosphericPressureMinimum can be migrated to tradeItemTemperatureInformation/minimumEnvironmentAtmosphericPressure, populate with 
tradeItemTemperatureInformation/temperatureQualifierCode  = TRANSPORTATION"
42790,Handling and Storage,Minimum Temperature,tradeItemTemperatureInformation/minimumTemperature,tradeItemTemperatureInformationModule/tradeItemTemperatureInformation/minimumTemperature,3826,S3MINTEMP,S3MNTMPU,minimumTemperature,O,"The minimum temperature that a product can not go below during an activity as defined by the manufacturer without affecting product safety, quality and/or usage.

Used to communicate to the buyer or consumer the minimum temperature for quality and safety for a specific activity in conjunction with Temperature Activity Code.",sfloat,15,15,30,Target Market,0..1,UOM,TemperatureUOM,N,N,Attributes with a datatype of sfloat (signed float) can support both negative and positive numbers.,"+14.2
-15.55
13.4","Previous IM GUI / Load Sheet (FUSE) Name was Minimum Temperature. 
",,9/1/2022,"9/1/2022- Updated IM GUI / Load Sheet (FUSE) Name and Definition for IM 8.31. Previous IM Attribute GUI Name was Minimum Temperature.
6/25/2021- Updated the value for IM GUI Item Attribute Set "
42810,Handling and Storage,Min Tolerance Temp,tradeItemTemperatureInformation/minimumToleranceTemperature,tradeItemTemperatureInformationModule/tradeItemTemperatureInformation/minimumToleranceTemperature,3828,S3MNTLTMP,S3MNTLTPU,minimumToleranceTemperature,O,The minimum temperature at which the item is still usable. The tolerated temperature indicates that the temperature of the trade item should never fall below the minimum temperature.,ufloat,38,15,53,Target Market,0..1,UOM,TemperatureUOM,N,N,Attributes with a datatype of ufloat (unsigned float) can support only  positive numbers.  No +/- should be used with this attribute.,"15.4
13",,,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to correct the # of digits before the decimal (floats), Min Length (Non-floats)/ Total digits including decimal (floats), and Max Length (Non-floats)/ # of digits after the decimal (floats) for float attributes"
42830,Handling and Storage,Temperature Activity Code,tradeItemTemperatureInformation/temperatureQualifierCode,tradeItemTemperatureInformationModule/tradeItemTemperatureInformation/temperatureQualifierCode,3830,S3TMPQALC,,temperatureQualifierCode,O,"Valid value for the activity for which the maximum and minimum temperatures are applicable.

Used to define/communicate the activity for which the min/max temperatures apply.",VV/TemperatureQualifierCode,,1,80,Target Market,0..1,,,N,N,For a list of valid values for this attribute refer to the Valid Value Sheet under the Valid Value List name of TemperatureQualifierCode,,"Previous IM GUI / Load Sheet (FUSE) Name was Temperature Qualifier Code. 
",,9/1/2022,"9/1/2022- Updated IM GUI / Load Sheet (FUSE) Name and Definition for IM 8.31. Previous IM Attribute GUI Name was Temperature Qualifier Code.
6/25/2021- Updated the value for IM GUI Item Attribute Set"
42850,Hazardous Material,Hazmat Class,canadaHazMat/hazMatClass,canadaHazMat/hazMatClass,N/A,S1HZMACL,,N/A,O,Hazardous Materials Classification Agency,string,,1,12,Target Market,0..1,,,N,N,,,,,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
42870,Hazardous Material,Hazmat Code,canadaHazMat/hazMatCode,canadaHazMat/hazMatCode,N/A,S1HZMACD,,N/A,O,Hazardous Materials Classification Code,string,,1,12,Target Market,0..1,,,N,N,,,,,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
42890,Hazardous Material,Hazmat Description,canadaHazMat/hazMatDesc,canadaHazMat/hazMatDesc,N/A,S1HZMADE,,N/A,O,A free-form description of the hazardous material.,string,,1,80,Target Market,0..Many,Language,StandardLanguageCodes,N,N,,,,,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
42910,Hazardous Material,Chemical Property Type Bio Hazard,chemicalPropertyTypeBioHazard,catalogueItemNotification/catalogueItem/tradeItem/avpList/chemicalPropertyTypeBioHazard,N/A,S3CHPRTPB,,chemicalPropertyTypeBioHazard,O,"Biohazard substances pose a threat to the health of living organisms, primarily that of humans.   Biomedical hazards normally come from biological sources or substances used in the diagnosis, prevention, or treatment of diseases.",VV/ChemicalPropertyTypeBioHazards,,1,35,Target Market,0..Many,,,N,N,,,,,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
42930,Hazardous Material,Class of Dangerous Goods Subsidiary Code,classOfDangerousGoodsSubsidiaryCode,catalogueItemNotification/catalogueItem/tradeItem/avpList/classOfDangerousGoodsSubsidiaryCode,N/A,S3CODGSCD,,classOfDangerousGoodsSubsidiaryCode,O,Allows a second Class of Dangerous Goods to be recorded in the system (if applicable).,VV/ClassOfDangerousGoodsSubsidiary,,1,4,Target Market,0..1,,,N,N,,,,,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to update IM GUI Name
10/13/2016 - Added existing attribute"
42950,Hazardous Material,Code Description,controlledSubstanceInformation/codeDescription,controlledSubstanceModule/controlledSubstanceInformation/codeDescription,827,S3CSICDES,,codeDescription,O,The description for the codelist,string,,1,250,Target Market,0..1,,,N,N,,,,,2/21/2022,"2/21/2022- Updated Max length from 80 to 250 for GDSN Release v3.1.19 (IM 8.28)
6/25/2021- Updated the value for IM GUI Item Attribute Set"
42970,Hazardous Material,Code List Agency Code,controlledSubstanceInformation/codeListAgencyCode,controlledSubstanceModule/controlledSubstanceInformation/codeListAgencyCode,828,S3CSICLAC,,codeListAgencyCode,O,The code for the agency that maintains the codelist.,string,,1,80,Target Market,0..1,,,N,N,,,,,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
42990,Hazardous Material,Code List Agency Name,controlledSubstanceInformation/codeListAgencyName,controlledSubstanceModule/controlledSubstanceInformation/codeListAgencyName,830,S3CSICLAN,,codeListAgencyName,O,The name for the agency that maintains the codelist.,string,,1,80,Target Market,0..1,,,N,N,,,,,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
43010,Hazardous Material,Code List Name,controlledSubstanceInformation/codeListName,controlledSubstanceModule/controlledSubstanceInformation/codeListName,831,S3CSICLNM,,codeListName,O,The name of the codelist.,string,,1,80,Target Market,0..1,,,N,N,,,,,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
43030,Hazardous Material,Code List URI,controlledSubstanceInformation/codeListURI,controlledSubstanceModule/controlledSubstanceInformation/codeListURI,832,S3CSICURI,,codeListURI,O,The URI for the codelist.,string,,1,5000,Target Market,0..1,,,N,N,,,,,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
3/14/2017 : Attribute max length updated in 1WS Schema from 200 to 5000 to match GDSN standards"
43050,Hazardous Material,Controlled Substance Amount,controlledSubstanceInformation/controlledSubstance/controlledSubstanceAmount,controlledSubstanceModule/controlledSubstanceInformation/controlledSubstance/controlledSubstanceAmount,844,S1CNTSBAM,S3CNSAUOM,controlledSubstanceAmount,O,"The numeric amount of a specific substance the item contains that is regulated under law as narcotics, stimulants, depressants, hallucinogens, anabolic steroids, and chemicals used in the illicit production of controlled substances.",ufloat,23,15,38,Target Market,0..1,UOM,MassVolumeCountUOM,N,N,Attributes with a datatype of ufloat (unsigned float) can support only  positive numbers.  No +/- should be used with this attribute.,"15.4
13",,,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to correct the # of digits before the decimal (floats), Min Length (Non-floats)/ Total digits including decimal (floats), and Max Length (Non-floats)/ # of digits after the decimal (floats) for float attributes
9/25/2020 - Errata : Fixed the Qual VV list"
